1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;2;709
15;9;577
16;24;690
17;37;732
18;63;822
19;74;781
20;72;868
21;81;790
22;88;801
23;86;847
24;84;784
25;72;830
26;57;746
27;45;803
28;41;678
29;46;693
30;63;783
31;61;769
32;70;812
33;62;832
34;55;835
35;44;798
36;41;805
37;33;820
38;21;715
39;15;756
40;12;665
41;12;680
42;11;477
43;8;499
44;6;711
45;6;486
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;1;454
62;1;702
63;9;589
64;19;613
65;36;671
66;59;705
67;72;771
68;78;796
69;80;773
70;81;818
71;83;755
72;76;777
73;73;830
74;64;838
75;43;788
76;42;750
77;49;736
78;64;784
79;64;767
80;60;760
81;68;786
82;60;805
83;47;813
84;38;781
85;25;743
86;21;722
87;18;780
88;15;633
89;11;654
90;7;490
91;9;632
92;6;590
93;4;348
94;1;397
95;0;0
96;0;0
97;0;0
98;0;0
99;0;0
100;0;0
101;0;0
102;0;0
103;0;0
104;0;0
105;0;0
106;0;0
107;0;0
108;0;0
109;0;0
110;3;442
111;14;517
112;26;577
113;37;628
114;61;717
115;68;739
116;82;742
117;81;780
118;79;825
119;87;768
120;75;802
121;70;773
122;56;847
123;54;811
124;42;750
125;54;717
126;59;671
127;65;748
128;71;741
129;69;735
130;68;809
131;54;760
132;44;815
133;34;743
134;24;741
135;19;716
136;14;646
137;11;526
138;8;682
139;7;616
140;7;714
141;5;366
142;1;333
143;0;0
144;0;0
145;0;0
146;0;0
147;0;0
148;0;0
149;0;0
150;0;0
151;0;0
152;0;0
153;0;0
154;0;0
155;0;0
156;0;0
157;0;0
158;2;319
159;5;545
160;21;555
161;35;712
162;52;741
163;62;759
164;70;828
165;78;780
166;75;850
167;75;775
168;82;805
169;73;813
170;64;802
171;52;825
172;47;710
173;49;744
174;62;707
175;66;784
176;67;777
177;59;864
178;59;833
179;59;811
180;43;786
181;34;787
182;22;647
183;17;700
184;13;640
185;13;536
186;10;531
187;11;865
188;4;483
189;5;622
190;2;506
191;1;547
192;0;0
193;0;0
194;0;0
195;0;0
196;0;0
197;0;0
198;0;0
199;0;0
200;0;0
201;0;0
202;0;0
203;0;0
204;1;211
205;0;0
206;4;576
207;9;640
208;23;631
209;35;605
210;57;733
211;63;710
212;71;797
213;78;771
214;78;750
215;74;741
216;78;769
217;68;835
218;53;814
219;49;794
220;40;773
221;46;715
222;54;750
223;56;748
224;60;829
225;57;791
226;49;736
227;46;772
228;36;711
229;30;802
230;18;802
231;17;804
232;13;692
233;9;648
234;7;573
235;6;397
236;5;434
237;4;464
238;1;0
239;0;0
240;0;0
241;0;0
242;0;0
243;0;0
244;0;0
245;1;913
246;0;0
247;0;0
248;0;0
249;0;0
250;0;0
251;0;0
252;0;0
253;1;401
254;1;603
255;6;344
256;8;592
257;18;681
258;26;680
259;34;672
260;41;756
261;47;787
262;42;778
263;43;811
264;43;788
265;42;755
266;34;701
267;30;677
268;24;715
269;24;707
270;22;706
271;18;827
272;20;611
273;18;716
274;17;632
275;18;912
276;14;692
277;13;505
278;12;633
279;7;596
280;7;524
281;7;547
282;7;619
283;6;442
284;3;918
285;1;512
286;0;0
287;1;832
288;0;0
289;0;0
290;0;0
291;0;0
292;0;0
293;0;0
294;0;0
295;0;0
296;0;0
297;0;0
298;0;0
299;0;0
300;0;0
301;0;0
302;0;0
303;0;0
304;1;668
305;3;654
306;2;428
307;4;708
308;10;598
309;13;721
310;14;613
311;14;683
312;14;713
313;17;657
314;15;599
315;10;604
316;15;733
317;9;660
318;8;656
319;7;431
320;7;609
321;7;528
322;10;557
323;8;670
324;7;481
325;7;571
326;10;441
327;7;432
328;6;463
329;6;673
330;4;427
331;5;358
332;3;481
333;2;336
334;1;401
335;0;0
336;0;0
